% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
hcp+B2	2155	117	98.2	1.9	3.082	0.005	-	-	2.322	0.000	1.622	0.000	2.593	0.001	-	-
hcp+B2	2246	117	98.4	1.9	3.082	0.005	-	-	2.322	0.000	1.622	0.000	2.595	0.001	-	-
hcp+B2	2350	120	98.9	1.8	3.081	0.005	-	-	2.324	0.000	1.623	0.000	2.596	0.001	-	-
hcp+B2	2518	122	98.9	1.8	3.081	0.004	-	-	2.325	0.000	1.623	0.000	2.599	0.001	-	-
hcp+B2	2597	123	99.1	1.8	3.081	0.004	-	-	2.327	0.001	1.618	0.001	2.600	0.001	-	-
hcp+B2	2668	124	99.2	1.9	3.081	0.005	-	-	2.325	0.001	1.620	0.001	2.604	0.002	-	-
hcp+B2	2715	139	99.5	1.9	3.081	0.004	-	-	2.327	0.000	1.623	0.000	2.602	0.001	-	-
hcp+B2	2854	128	99.3	1.9	3.082	0.004	-	-	2.326	0.001	1.626	0.000	2.607	0.001	-	-
hcp+B2	2988	132	99.6	1.8	3.081	0.004	-	-	2.330	0.001	1.621	0.001	2.609	0.002	-	-
hcp+B2	3141	137	99.8	1.9	3.081	0.004	-	-	2.331	0.001	1.624	0.001	2.613	0.001	-	-
hcp+B2	1619	116	47.3	0.7	3.286	0.002	-	-	2.413	0.000	1.628	0.000	2.708	0.001	-	-
hcp+B2	1505	123	47.1	0.7	3.286	0.002	-	-	2.409	0.000	1.624	0.000	2.700	0.001	-	-
hcp+B2	1620	139	51.1	0.8	3.264	0.003	-	-	2.400	0.000	1.633	0.000	2.694	0.000	-	-
hcp+B2	1512	129	51.0	0.8	3.263	0.003	-	-	2.399	0.004	1.631	0.002	2.691	0.002	-	-
hcp+B2	1372	122	50.6	0.8	3.265	0.003	-	-	2.395	0.001	1.629	0.000	2.690	0.002	-	-
hcp+B2	1494	126	64.3	1.0	3.199	0.004	-	-	2.373	0.001	1.621	0.001	2.653	0.003	-	-
hcp+B2	1612	118	64.6	1.1	3.198	0.004	-	-	2.374	0.002	1.621	0.001	2.656	0.004	-	-
hcp+B2	1667	126	64.6	0.9	3.198	0.003	-	-	2.374	0.001	1.621	0.001	2.657	0.003	-	-
hcp+B2	1767	142	64.8	1.0	3.198	0.003	-	-	2.376	0.001	1.621	0.001	2.657	0.003	-	-
hcp+B2	1833	152	65.1	0.9	3.197	0.003	-	-	2.375	0.001	1.627	0.001	2.662	0.003	-	-
hcp+B2	1919	135	65.1	1.0	3.198	0.003	-	-	2.380	0.001	1.616	0.000	2.669	0.003	-	-
hcp+B2	2011	182	65.5	0.9	3.197	0.002	-	-	2.378	0.000	1.621	0.000	2.665	0.003	-	-
hcp+B2	2107	138	65.7	0.9	3.196	0.002	-	-	2.379	0.000	1.623	0.000	2.672	0.002	-	-
hcp+B2	2211	150	65.6	1.0	3.198	0.002	-	-	2.375	0.001	1.632	0.000	2.671	0.004	-	-
hcp+B2	2304	143	65.7	1.1	3.198	0.003	-	-	2.376	0.002	1.634	0.002	2.674	0.004	-	-
hcp+B2	2456	179	66.0	1.1	3.197	0.002	-	-	2.379	0.001	1.628	0.000	2.673	0.005	-	-
hcp+B2	1904	181	51.5	0.9	3.264	0.002	-	-	2.402	0.002	1.636	0.002	2.702	0.002	-	-
hcp+B2	1794	124	47.3	0.8	3.287	0.002	-	-	2.414	0.001	1.624	0.001	2.718	0.001	-	-
