>> -W1,black
0.480098 -8.10101135747
0.720097 -7.92924739473
0.960096 -7.75778649321
1.200095 -7.58661604279
1.440094 -7.41572425031
1.680093 -7.24510007623
1.920092 -7.07473317702
2.160091 -6.90461385272
2.40009 -6.73473299906
2.640089 -6.56532838184
2.880088 -6.40198410573
3.120087 -6.24282561969
3.360086 -6.08662407706
3.600085 -5.93287302656
3.840084 -5.78126932148
4.080083 -5.63160398159
4.320082 -5.4837210942
4.560081 -5.33749824204
4.80008 -5.19283579984
5.040079 -5.04965050958
5.280078 -4.9078713542
5.520077 -4.7674367674
5.760076 -4.62829266844
6.000075 -4.49039103157
6.240074 -4.35368881574
6.480073 -4.21814714511
6.720072 -4.0837306692
6.960071 -3.9504070546
7.20007 -3.81814657526
7.440069 -3.68692177775
7.680068 -3.55670720468
7.920067 -3.42747916368
8.160066 -3.29921553276
8.400065 -3.1718955948
8.640064 -3.04549989581
8.880063 -2.92001012264
9.120062 -2.79540899688
9.360061 -2.67168018216
9.60006 -2.54880820283
9.840059 -2.42677837213
10.080058 -2.30557672865
10.320057 -2.18518997965
10.560056 -2.06560545047
10.800055 -1.94681103917
11.040054 -1.82879517562
11.280053 -1.71154678467
11.520052 -1.59505525271
11.760051 -1.47931039731
12.00005 -1.36430243959
12.240049 -1.250021979
12.480048 -1.13645997016
12.720047 -1.02360770173
12.960046 -0.911456776912
13.200045 -0.799999095476
13.440044 -0.689226837233
13.680043 -0.579132446704
13.920042 -0.46970861894
14.160041 -0.360948286359
14.40004 -0.252844606525
14.640039 -0.14539095076
14.880038 -0.0385808935412
15.120037 0.0675917973963
15.360036 0.173133170309
15.600035 0.278049098101
15.840034 0.382345286433
16.080033 0.486027281322
16.320032 0.589100476287
16.560031 0.691570119054
16.80003 0.793441317879
17.040029 0.89471904749
17.280028 0.995408154694
17.520027 1.09551336368
17.760026 1.19503928098
18.000025 1.29399040027
18.240024 1.39237110676
18.480023 1.49018568145
18.720022 1.58743830517
18.960021 1.68413306237
19.20002 1.7802739447
19.440019 1.87586485448
19.680018 1.97090960794
19.920017 2.06541193832
20.160016 2.15937549881
20.400015 2.25280386538
20.640014 2.34570053944
20.880013 2.4380689504
21.120012 2.52991245808
21.360011 2.62123435507
21.60001 2.71203786893
21.840009 2.8023261643
22.080008 2.89210234495
22.320007 2.9813694557
22.560006 3.07013048428
22.800005 3.15838836312
23.040004 3.24614597103
23.280003 3.33340613485
23.520002 3.42017163099
23.760001 3.50644518698
24.0 3.59222948286
>> -W1,blue,-
0.0001 -12.4918927474
0.240099 -12.4098867336
0.480098 -12.3278928075
0.720097 -12.2459172807
0.960096 -12.1639660374
1.200095 -12.0820445669
1.440094 -12.0001579922
1.680093 -11.9183110974
1.920092 -11.8365083516
2.160091 -11.7547539315
2.40009 -11.6730517416
2.640089 -11.5913233275
2.880088 -11.5077080563
3.120087 -11.4228314523
3.360086 -11.3371037471
3.600085 -11.2506943188
3.840084 -11.1637047257
4.080083 -11.0762050886
4.320082 -10.9882477926
4.560081 -10.8998740143
4.80008 -10.8111172917
5.040079 -10.7220056681
5.280078 -10.6325630694
5.520077 -10.5428102367
5.760076 -10.4527653825
