>> -W1,black
>> -W0.5,grey,
11.5640486991 -2.21518368123 0.6
12.2076438292 -1.75261702199 0.6
12.8512389593 -1.29439152609 0.6
13.4948340893 -0.840347443215 0.6
14.1384292194 -0.390333732155 0.6
14.7820243495 0.0557925574531 0.6
15.4256194796 0.498166844407 0.6
16.0692146097 0.936917535101 0.6
16.7128097398 1.3721664919 0.6
17.3564048699 1.80402946632 0.6
18.0 2.23261649735 0.6
>> -W0.5,grey,-
12.1480260968 -1.78863333723 0.65
12.7332234871 -1.37022426424 0.65
13.3184208774 -0.955312798248 0.65
13.9036182678 -0.543782855974 0.65
14.4888156581 -0.135524010775 0.65
15.0740130484 0.269568865904 0.65
15.6592104387 0.671595935054 0.65
16.244407829 1.07065269437 0.65
16.8296052194 1.46683026089 0.65
17.4148026097 1.86021563092 0.65
18.0 2.25089192209 0.65
>> -W0.5,grey,
12.7224460181 -1.29654576176 0.7
13.2502014163 -0.920592444825 0.7
13.7779568145 -0.54742531429 0.7
14.3057122127 -0.17696192892 0.7
14.8334676109 0.190876605142 0.7
15.3612230091 0.556165833667 0.7
15.8889784073 0.918978139448 0.7
16.4167338054 1.27938291217 0.7
16.9444892036 1.63744673928 0.7
17.4722446018 1.99323347437 0.7
18.0 2.34680445296 0.7
>> -W0.5,grey,-
13.7583497291 -0.384631630376 0.75
14.1825147562 -0.0849035082406 0.75
14.6066797832 0.213093657307 0.75
15.0308448103 0.509400008762 0.75
15.4550098374 0.804054346584 0.75
15.8791748645 1.09709418965 0.75
16.3033398916 1.38855582981 0.75
16.7275049187 1.67847438618 0.75
17.1516699458 1.96688385326 0.75
17.5758349729 2.2538171491 0.75
18.0 2.53930615976 0.75
>> -W0.5,grey,
14.9001704042 0.722247262701 0.8
15.2101533638 0.939784142127 0.8
15.5201363233 1.15643027643 0.8
15.8301192829 1.37220026136 0.8
16.1401022425 1.58710835152 0.8
16.4500852021 1.80116847116 0.8
16.7600681617 2.01439422436 0.8
17.0700511213 2.22679890492 0.8
17.3800340808 2.43839550583 0.8
17.6900170404 2.64919672831 0.8
18.0 2.85921499058 0.8
>> -W0.5,grey,-
16.0755533521 2.03186614289 0.85
16.2679980168 2.16642509945 0.85
16.4604426816 2.30065107571 0.85
16.6528873464 2.434547304 0.85
16.8453320112 2.56811697223 0.85
17.037776676 2.70136322479 0.85
17.2302213408 2.83428916333 0.85
17.4226660056 2.9668978476 0.85
17.6151106704 3.09919229621 0.85
